,id,sex,age,marital,child,educ,source,smoke,smokenum,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,LG10negaff,MAH_1,COO_1,MAH_2,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC1_2,FAC2_2,FAC3_2,FAC4_2,MAH_3,COO_2,tpnew
0,415.0,FEMALES,24.0,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,LIFE IN GENERAL,NO,,22.0,22.0,49.0,39.0,23.0,29.0,34.0,4.0,51.0,18 - 29,18 - 24,completed undergrad uni,1.6232492903979006,0.9580161998516026,4.534498439556933e-05,18.100643200251625,2.1851851335354135,2.143561522628302,2.9848865197344576,2.0929831673030304,2.67511670838311,1.7441052238327648,2.776468875611272,1.8471108933609202,0.9580161998516005,4.5344984395570224e-05,106.0
1,9.0,MALES,39.0,LIVING WITH PARTNER,YES,COMPLETED UNDERGRADUATE,WORK,YES,2.0,19.0,21.0,35.0,35.0,30.0,22.0,27.0,5.0,40.0,30 - 44,33 - 40,completed undergrad uni,1.5440680443502757,3.6407533262411294,0.015852389363875355,14.48201145513948,0.1530390151056428,1.9205583600069436,1.6038786630304191,0.6926884248488021,0.43516905755033997,1.734308391422066,1.372101227096478,0.29286820659032914,3.640753326241122,0.015852389363875334,84.0
2,425.0,FEMALES,48.0,MARRIED FIRST TIME,YES,SOME SECONDARY,CHILDREN,NO,,19.0,19.0,74.0,14.0,33.0,19.0,24.0,8.0,47.0,45+,41 - 49,did not complete high school,1.146128035678238,1.3074178665550173,0.014042483113735044,14.214291341178198,-2.6286278328146895,-0.17616561729150054,-1.9703264671959275,0.22457785188883833,-2.8106047844602826,-0.1666764376130178,-1.9908971535730944,0.13961153832344325,1.307417866555016,0.014042483113735052,98.0
3,307.0,MALES,41.0,REMARRIED,YES,SOME SECONDARY,WORK,NO,0.0,26.0,26.0,49.0,36.0,33.0,31.0,29.0,3.0,63.0,30 - 44,41 - 49,did not complete high school,1.5563025007672873,1.3141761020558584,0.0054038494713313625,14.169410552887562,2.1021516113025736,0.7907411580609105,3.255208129780885,1.8162752358023304,2.485545968657226,0.22639477234289157,3.267548263671834,1.8025181557255963,1.3141761020558562,0.005403849471331385,130.0
4,440.0,MALES,23.0,SINGLE,NO,COMPLETED UNDERGRADUATE,WORK,NO,0.0,18.0,23.0,85.0,11.0,16.0,27.0,29.0,4.0,46.0,18 - 29,18 - 24,completed undergrad uni,1.0413926851582251,2.718887379682592,0.0003755638492946378,13.702973868063864,-3.016186129301542,-0.9264942447799029,-1.4026503716083594,-0.36216744821669605,-3.2595372559443043,-1.061797059090378,-1.2888719200728653,-0.39429443571867057,2.7188873796825854,0.0003755638492946337,96.0
5,484.0,FEMALES,31.0,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,LIFE IN GENERAL,NO,,17.0,23.0,81.0,12.0,10.0,21.0,39.0,10.0,43.0,30 - 44,25 - 32,completed undergrad uni,1.0791812460476249,3.754298863662763,0.01351416442949671,13.56550757515101,-2.8091832193240913,-0.9873276339442153,-0.8789056809025364,-0.26472556183994883,-3.0174836704053263,-1.2193347357916755,-0.7354704956850874,-0.28514984591058673,3.754298863662754,0.013514164429496675,
6,341.0,FEMALES,30.0,SEPARATED,NO,SOME ADDITIONAL TRAINING,MONEY/FINANCES,NO,0.0,10.0,9.0,84.0,37.0,5.0,39.0,20.0,3.0,25.0,30 - 44,25 - 32,some additional training,1.568201724066995,12.651428633253358,0.0023990697465923736,12.523441884183498,-3.028977843747736,2.150999794944033,0.6467095741036659,2.429607233643557,-2.7837181348754925,1.526808222124051,0.3998371757592783,1.8645423918820323,12.65142863325335,0.002399069746592418,
7,300.0,MALES,23.0,STEADY RELATIONSHIP,NO,COMPLETED UNDERGRADUATE,WORK,YES,100.0,25.0,21.0,85.0,38.0,25.0,39.0,20.0,4.0,35.0,18 - 29,18 - 24,completed undergrad uni,1.5797835966168101,5.734723074695083,0.015902160376897446,12.38052410351094,-2.8945408803171633,2.432767355525577,0.5898819639578156,2.5435663354106466,-2.6219224162601327,1.8482488468027578,0.29689974981505113,1.9437701353975014,5.734723074695071,0.015902160376897446,
8,61.0,FEMALES,18.0,STEADY RELATIONSHIP,NO,SOME SECONDARY,SPOUSE OR PARTNER,YES,40.0,13.0,12.0,84.0,34.0,8.0,43.0,38.0,5.0,27.0,18 - 29,18 - 24,did not complete high school,1.5314789170422551,9.240321691463388,0.008410372338932761,12.27370122565726,-3.0331718326531845,2.593493365214031,-1.5263870784009141,3.006619710037634,-2.8553305983088793,2.341427387606018,-1.9175372318067547,2.490183871120501,9.24032169146338,0.008410372338932718,
9,24.0,MALES,23.0,SINGLE,NO,POSTGRADUATE COMPLETED,,NO,0.0,9.0,13.0,74.0,39.0,5.0,46.0,33.0,2.0,20.0,18 - 29,18 - 24,completed postgrad uni,1.662757831681574,11.758986231572115,0.02586786482889496,11.608588790758853,-1.7962130152337605,3.6285217757892654,0.8495682308918558,3.2838359837554103,-1.3544543165980585,3.140152182200374,0.37982779395959715,2.5748368698610813,11.758986231572104,0.025867864828894874,
